image_name,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,total_fibers_HistANG,total_fibers_HistLEN,total_fibers_HistSTR,total_fibers_HistWID,slice,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,Unnamed: 13,Unnamed: 14,concentration_asmmean.,concentration_contrastmean.,concentration_correlationmean.,concentration_dissimilaritymean.,concentration_glcmmeanmean.,concentration_glcmvariancemean.,concentration_homogeneitymean.,type_asmmean.,type_contrastmean.,type_correlationmean.,type_dissimilaritymean.,type_glcmmeanmean.,type_glcmvariancemean.,type_homogeneitymean.,roi_asmmean.,roi_contrastmean.,roi_correlationmean.,roi_dissimilaritymean.,roi_glcmmeanmean.,roi_glcmvariancemean.,roi_homogeneitymean.,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.
appliedMASKiso_shg_2mgml_roi2_8bit.ome,71.6810126,55.59938865,0.925853986,3.759369211,63.97975556,48.97804444,0.933116222,3.697918889,6.606747784,4.842680096,0.191580184,0.846172713,1234.0,1234.0,1234.0,1234.0,22.0,3227.2,39.27764888888889,2597.2444444444445,74.37777777777778,35.26727555555556,12.488888888888889,1.1908511111111113,0.015753333333333334,0.07076444444444445,0.24620111111111112,131072.0,,,2mgml,2mgml,2mgml,2mgml,2mgml,2mgml,2mgml,shg,shg,shg,shg,shg,shg,shg,roi2,roi2,roi2,roi2,roi2,roi2,roi2,0.6752856969833374,567.7122802734375,0.4843081533908844,8.922024726867676,9.485015869140625,667.7147827148438,0.8151023983955383,0.690650463104248,523.798583984375,0.515241265296936,8.259663581848145,7.940666675567627,556.8192749023438,0.8335573673248291,0.19447992742061615,360.6596374511719,0.17318637669086456,5.619045734405518,7.321444511413574,529.623291015625,0.12360582500696182
appliedMASKiso_shg_2mgml_roi3_8bit.ome,90.1070194,52.29818759,0.915301652,3.620260549,94.40154444,45.718,0.924430222,3.550512222,7.068976535,4.699784924,0.209364098,0.850707815,1374.0,1374.0,1374.0,1374.0,22.0,3609.0,34.65799111111111,2978.4444444444443,97.82222222222222,30.741424444444444,15.511111111111111,1.2237,0.019571111111111112,0.06080888888888889,0.08261088888888889,131072.0,,,2mgml,2mgml,2mgml,2mgml,2mgml,2mgml,2mgml,shg,shg,shg,shg,shg,shg,shg,roi3,roi3,roi3,roi3,roi3,roi3,roi3,0.5424751043319702,546.5186767578125,0.45856618881225586,10.706205368041992,10.984872817993164,602.5050659179688,0.7254838347434998,0.5472410321235657,523.4906005859375,0.4758512079715729,10.290946960449219,9.505393028259277,510.4244689941406,0.743904173374176,0.21129535138607025,282.96917724609375,0.1747557520866394,5.393598556518555,7.254626274108887,436.0054016113281,0.14975571632385254
appliedMASKiso_shg_3mgml_roi1_8bit.ome,74.34108867,59.60990448,0.916773326,3.619049881,64.40686667,51.76841111,0.925707444,3.535093333,6.882917995,5.274510585,0.210835557,0.884838878,2230.0,2230.0,2230.0,2230.0,22.0,5766.555555555556,20.916295555555557,4635.2444444444445,112.37777777777778,43.04394666666666,35.6,1.3471133333333334,0.02192888888888889,0.16922666666666666,0.2494111111111111,131072.0,,,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,shg,shg,shg,shg,shg,shg,shg,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.48808854818344116,1274.11181640625,0.42322030663490295,17.41436004638672,17.521522521972656,1222.0582275390625,0.6892194747924805,0.4806782901287079,1263.58740234375,0.4360251724720001,17.355810165405273,16.199111938476562,1136.0078125,0.6972716450691223,0.18421873450279236,511.5885009765625,0.1453022062778473,6.807879447937012,9.579972267150879,656.11669921875,0.1354478895664215
appliedMASKiso_shg_3mgml_roi2_8bit.ome,97.55279536,54.25461537,0.913555982,3.573348123,100.6322444,46.7563,0.921289111,3.481067778,6.312363052,4.877856503,0.206759037,0.87442148,1959.0,1959.0,1959.0,1959.0,22.0,4944.133333333333,24.692375555555554,4113.177777777778,105.42222222222222,39.271684444444446,28.68888888888889,1.3076133333333333,0.020273333333333334,0.10483777777777778,0.21639111111111112,131072.0,,,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,shg,shg,shg,shg,shg,shg,shg,roi2,roi2,roi2,roi2,roi2,roi2,roi2,0.4870446026325226,767.2998657226562,0.40252941846847534,13.599827766418457,13.51220703125,691.6196899414062,0.6893102526664734,0.48484236001968384,757.5283813476562,0.4124767780303955,13.38967514038086,12.221956253051758,654.070068359375,0.7013469934463501,0.18656685948371887,299.6943664550781,0.13066698610782623,5.3376922607421875,7.415759563446045,338.39080810546875,0.1373509168624878
appliedMASKiso_shg_3mgml_roi3_8bit.ome,70.63211061,57.03686383,0.915491455,3.529706887,46.7101,49.00656667,0.922869111,3.452092222,7.940465075,5.214326449,0.19986237,0.827422749,1837.0,1837.0,1837.0,1837.0,22.0,4796.8,25.905973333333336,4044.6444444444446,99.73333333333333,41.23754888888889,25.57777777777778,1.2955311111111112,0.016904444444444444,0.11794444444444445,0.2659066666666667,131072.0,,,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,shg,shg,shg,shg,shg,shg,shg,roi3,roi3,roi3,roi3,roi3,roi3,roi3,0.5427605509757996,830.5528564453125,0.41678696870803833,13.240216255187988,12.883630752563477,794.1328735351562,0.7288323044776917,0.5452755093574524,808.9083862304688,0.4342077672481537,12.853564262390137,11.870782852172852,725.9736938476562,0.7422747611999512,0.18619900941848755,369.6605224609375,0.15401796996593475,5.84388542175293,7.348512649536133,470.2335510253906,0.13051411509513855
